Data element,Possible values and units
Calcitonin,"Calcitonin [Mass/volume] in Serum or Plasma (LOINC: 1992-7, Concept ID: 3010989)"
Calcium,"Calcium.ionized [Mass/volume] in Serum or Plasma (LOINC: 17863-2, Concept ID: 3027694)"
Calcium,"Calcium.ionized [Moles/volume] in Serum or Plasma (LOINC: 1995-0, Concept ID: 3021347)"
Calcium,"Calcium.ionized [Mass/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE) (LOINC: 17864-0, Concept ID: 3024250)"
Calcium,"Calcium [Mass/volume] in Serum or Plasma (LOINC: 17861-6, Concept ID: 3006906)"
Calcium,"Calcium [Moles/volume] in Capillary blood (LOINC: 42593-4, Concept ID: 3034988)"
Calcium,"Calcium.ionized [Moles/volume] in Arterial blood (LOINC: 34581-9, Concept ID: 3044331)"
Calcium,"Calcium.ionized [Moles/volume] in Blood (LOINC: 1994-3, Concept ID: 3021119)"
Chloride,"Chloride [Moles/volume] in Blood (LOINC: 2069-3, Concept ID: 3018572)"
Chloride,"Chloride [Moles/volume] in Serum or Plasma (LOINC: 2075-0, Concept ID: 3014576)"
Cholesterol,"Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma (LOINC: 9830-1, Concept ID: 3011163)"
Cholesterol,"Cholesterol non HDL [Mass/volume] in Serum or Plasma (LOINC: 43396-1, Concept ID: 3044491)"
Cholesterol,"Cholesterol in HDL [Mass/volume] in Serum or Plasma (LOINC: 2085-9, Concept ID: 3007070)"
Cholesterol,"Cholesterol [Mass/volume] in Serum or Plasma (LOINC: 2093-3, Concept ID: 3027114)"
Cholesterol,"Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay (LOINC: 18262-6, Concept ID: 3009966)"
Cholesterol,"Cholesterol in LDL real size pattern [Identifier] in Serum or Plasma (LOINC: 47213-4, Concept ID: 3053190)"
Cholesterol,"Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation (LOINC: 13457-7, Concept ID: 3028288)"
Cholesterol,"Cholesterol in LDL [Mass/volume] in Serum or Plasma (LOINC: 2089-1, Concept ID: 3028437)"
CK,"Creatine kinase.MB [Mass/volume] in Serum or Plasma (LOINC: 13969-1, Concept ID: 3005785)"
CK,"Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma (LOINC: 49136-5, Concept ID: 3048863)"
CK,"Creatine kinase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 2157-6, Concept ID: 3007220)"
CK,"Creatine kinase.MB/Creatine kinase.total in Serum or Plasma by Electrophoresis (LOINC: 12187-1, Concept ID: 3007150)"
CMV,"Cytomegalovirus IgM Ab [Presence] in Serum or Plasma (LOINC: 30325-5, Concept ID: 3013332)"
CMV,"Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay (LOINC: 5124-3, Concept ID: 3005356)"
CMV,"Cytomegalovirus IgM Ab [Units/volume] in Cerebral spinal fluid (LOINC: 13226-6, Concept ID: 3027812)"
CMV,"Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 24119-0, Concept ID: 3001145)"
CMV,"Cytomegalovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection (LOINC: 33006-8, Concept ID: 3033230)"
CMV,"Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay (LOINC: 5126-8, Concept ID: 3003526)"
CMV,"Cytomegalovirus IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay (LOINC: 52984-2, Concept ID: 3041375)"
CMV,"Cytomegalovirus IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay (LOINC: 6921-1, Concept ID: 3001618)"
CMV,"Cytomegalovirus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 54206-8, Concept ID: 40757337)"
CMV,"Cytomegalovirus DNA [#/volume] (viral load) in Urine by NAA with probe detection (LOINC: 49347-8, Concept ID: 3032962)"
CMV,"Cytomegalovirus IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay (LOINC: 44817-5, Concept ID: 3044766)"
CMV,"Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence (LOINC: 49539-0, Concept ID: 3032981)"
CMV,"Cytomegalovirus IgG Ab [Presence] in Serum or Plasma (LOINC: 22244-8, Concept ID: 3016816)"
Creatinine,"Creatinine [Mass/volume] in Urine (LOINC: 2161-8, Concept ID: 3017250)"
Creatinine,"Creatinine [Mass/volume] in 24 hour Urine (LOINC: 20624-3, Concept ID: 3001349)"
Creatinine,"Creatinine [Mass/volume] in Blood (LOINC: 38483-4, Concept ID: 3051825)"
Creatinine,"Creatinine [Mass/time] in 24 hour Urine (LOINC: 2162-6, Concept ID: 3004239)"
Creatinine,"Creatinine renal clearance in 24 hour Urine and Serum or Plasma (LOINC: 2164-2, Concept ID: 3005770)"
Creatinine,"Creatinine [Mass/volume] in Serum or Plasma (LOINC: 2160-0, Concept ID: 3016723)"
CRP,"C reactive protein [Mass/volume] in Serum or Plasma (LOINC: 1988-5, Concept ID: 3020460)"
CRP,"C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method (LOINC: 30522-7, Concept ID: 3010156)"
D antigen,"D Ag [Presence] in Blood (LOINC: 1305-2, Concept ID: 3010483)"
D-Dimer,"Fibrin D-dimer [Presence] in Platelet poor plasma (LOINC: 15179-5, Concept ID: 3015823)"
D-Dimer,"Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma by Immunoassay (LOINC: 48067-3, Concept ID: 3052648)"
D-Dimer,"Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma (LOINC: 48065-7, Concept ID: 3051714)"
Eosinophils,"Eosinophils [#/volume] in Blood by Automated count (LOINC: 711-2, Concept ID: 3028615)"
Eosinophils,"Eosinophils/100 leukocytes in Blood by Automated count (LOINC: 713-8, Concept ID: 3010457)"
Eosinophils,"Eosinophils [#/volume] in Blood by Manual count (LOINC: 712-0, Concept ID: 3009932)"
Eosinophils,"Eosinophils [#/volume] in Blood (LOINC: 26449-9, Concept ID: 3013115)"
Eosinophils,"Eosinophils/100 leukocytes in Blood (LOINC: 26450-7, Concept ID: 3006504)"
Erythrocytes,"Erythrocytes [#/volume] in Urine by Test strip (LOINC: 20409-9, Concept ID: 3009105)"
Erythrocytes,"Erythrocytes [#/volume] in Blood by Automated count (LOINC: 789-8, Concept ID: 3020416)"
Erythrocytes,"Erythrocytes [#/volume] in Urine by Automated test strip (LOINC: 57747-8, Concept ID: 40760857)"
Erythrocytes,"Erythrocytes [#/volume] in Blood (LOINC: 26453-1, Concept ID: 3026361)"
ESR,"Erythrocyte sedimentation rate by Westergren method (LOINC: 4537-7, Concept ID: 3013707)"
ESR,"Erythrocyte sedimentation rate (LOINC: 30341-2, Concept ID: 3015183)"
Factor X,"Coagulation factor X activated [Units/volume] in Platelet poor plasma by Coagulation assay (LOINC: 3217-7, Concept ID: 3005445)"
Factor X,"Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay (LOINC: 3218-5, Concept ID: 3004409)"
Ferritin,"Ferritin [Mass/volume] in Serum or Plasma (LOINC: 2276-4, Concept ID: 3001122)"
Fibrin/Fibrinogen Fragments,"Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma (LOINC: 30226-5, Concept ID: 3000401)"
Fibrinogen,"Fibrinogen [Presence] in Platelet poor plasma (LOINC: 16859-1, Concept ID: 3002937)"
Fibrinogen,"Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay (LOINC: 3255-7, Concept ID: 3016407)"
Folate,"Folate [Mass/volume] in Red Blood Cells (LOINC: 2283-0, Concept ID: 3035569)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Cystatin-based formula (LOINC: 50210-4, Concept ID: 3029859)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI) (LOINC: 62238-1, Concept ID: 40764999)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD) (LOINC: 33914-3, Concept ID: 46236952)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood (LOINC: 69405-9, Concept ID: 40771922)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood (LOINC: 69405-9, Concept ID: 40771922)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD) (LOINC: 48643-1, Concept ID: 3053283)"
GFR,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD) (LOINC: 48642-3, Concept ID: 3049187)"
GGT,"Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 2324-2, Concept ID: 3026910)"
Globulin ,"Albumin/Globulin [Mass Ratio] in Serum or Plasma (LOINC: 1759-0, Concept ID: 3020509)"
Globulin ,"Globulin [Mass/volume] in Serum (LOINC: 2336-6, Concept ID: 3021886)"
Globulin ,"Globulin [Mass/volume] in Serum by calculation (LOINC: 10834-0, Concept ID: 3027970)"
Glucose,"Glucose [Mass/volume] in Blood by Automated test strip (LOINC: 2340-8, Concept ID: 3011424)"
Glucose,"Glucose [Mass/volume] in Serum or Plasma (LOINC: 2345-7, Concept ID: 3004501)"
Glucose,"Glucose [Mass/volume] in Serum or Plasma --2 hours post 100 g glucose PO (LOINC: 1514-9, Concept ID: 3006717)"
Glucose,"Glucose [Mass/volume] in Serum or Plasma --2 hours post dose glucose (LOINC: 20436-2, Concept ID: 3026300)"
Glucose,"Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin (LOINC: 27353-2, Concept ID: 3005131)"
Glucose,"Glucose [Mass/volume] in Serum or Plasma --2 hours post 75 g glucose PO (LOINC: 1518-0, Concept ID: 3025673)"
Glucose,"Glucose mean value [Moles/volume] in Blood Estimated from glycated hemoglobin (LOINC: 53553-4, Concept ID: 3039720)"
Glucose,"Glucose [Mass/volume] in Blood --2 hours post dose glucose (LOINC: 49134-0, Concept ID: 3048865)"
Glucose,"Glucose [Mass/volume] in Blood (LOINC: 2339-0, Concept ID: 3000483)"
Glucose,"Fasting glucose [Mass/volume] in Serum or Plasma (LOINC: 1558-6, Concept ID: 3037110)"
HCO3,"Bicarbonate [Moles/volume] in Arterial cord blood (LOINC: 28640-1, Concept ID: 3017809)"
HCO3,"Bicarbonate [Moles/volume] in Arterial blood (LOINC: 1960-4, Concept ID: 3008152)"
HCO3,"Bicarbonate [Moles/volume] in Venous cord blood (LOINC: 28641-9, Concept ID: 3018650)"
HCO3,"Bicarbonate [Moles/volume] in Venous blood (LOINC: 14627-4, Concept ID: 3027273)"
HCO3,"Bicarbonate [Moles/volume] in Blood (LOINC: 1959-6, Concept ID: 3006576)"
HCO3,"Bicarbonate [Moles/volume] in Capillary blood (LOINC: 1961-2, Concept ID: 3015235)"
Hct,"Hematocrit [Volume Fraction] of Blood by Centrifugation (LOINC: 4545-0, Concept ID: 3019909)"
Hct,"Hematocrit [Volume Fraction] of Blood by Automated count (LOINC: 4544-3, Concept ID: 3023314)"
Hct,"Hematocrit [Volume Fraction] of Blood (LOINC: 20570-8, Concept ID: 3009542)"
Hepatitis B Virus,"Hepatitis B virus DNA [Mass/volume] (viral load) in Serum by Probe (LOINC: 23869-1, Concept ID: 3008652)"
Hepatitis B Virus,"Hepatitis B virus polymerase DNA [Presence] in Blood by NAA with probe detection (LOINC: 16934-2, Concept ID: 3022900)"
Hepatitis B Virus,"Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay (LOINC: 5196-1, Concept ID: 3019510)"
Hepatitis B Virus,"Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 24113-3, Concept ID: 3022560)"
Hepatitis B Virus,"Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay (LOINC: 5193-8, Concept ID: 3013731)"
Hepatitis B Virus,"Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection (LOINC: 29610-3, Concept ID: 3022058)"
Hepatitis B Virus,"Hepatitis B virus surface Ab [Presence] in Serum (LOINC: 22322-2, Concept ID: 3017797)"
Hepatitis B Virus,"Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay (LOINC: 10900-9, Concept ID: 3006453)"
Hepatitis B Virus,"Hepatitis B virus surface Ab [Units/volume] in Serum (LOINC: 16935-9, Concept ID: 3023421)"
Hepatitis B Virus,"Hepatitis B virus surface Ab [Units/volume] in Serum (LOINC: 16935-9, Concept ID: 3023421)"
Hepatitis B Virus,"Hepatitis B virus DNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 48398-2, Concept ID: 3048505)"
Hepatitis B Virus,"Hepatitis B virus surface Ag in Serum or Plasma by Confirmatory method (LOINC: 70154-0, Concept ID: 42868628)"
Hepatitis B Virus,"Hepatitis B virus surface Ag [Presence] in Serum (LOINC: 5195-3, Concept ID: 3019284)"
Hepatitis B Virus,"Hepatitis B virus DNA [Units/volume] in Serum (LOINC: 11258-1, Concept ID: 3014700)"
Hepatitis B Virus,"Hepatitis B virus core IgM Ab [Presence] in Serum (LOINC: 31204-1, Concept ID: 3013527)"
Hepatitis B Virus,"Hepatitis B Virus YMDD [Presence] in Serum or Plasma by NAA with probe detection (LOINC: 43279-9, Concept ID: 3044784)"
Hepatitis B Virus,"Hepatitis B virus core Ab [Presence] in Serum (LOINC: 16933-4, Concept ID: 3021879)"
Hepatitis B Virus,"Hepatitis B virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 45161-7, Concept ID: 3046542)"
Hepatitis B Virus,"Hepatitis B virus core IgG+IgM Ab [Presence] in Serum (LOINC: 51914-0, Concept ID: 3042118)"
Hepatitis B Virus,"Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 29615-2, Concept ID: 3027346)"
Hepatitis B Virus,"Hepatitis B virus core Ab [Units/volume] in Serum (LOINC: 22316-4, Concept ID: 3017121)"
Hepatitis B Virus,"Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay (LOINC: 5187-0, Concept ID: 3016557)"
Hepatitis B Virus,"Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 42595-9, Concept ID: 3032567)"
Hepatitis B Virus,"Hepatitis B virus surface Ag [Units/volume] in Serum (LOINC: 58452-4, Concept ID: 40761553)"
Hepatitis B Virus,"Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Neutralization test (LOINC: 7905-3, Concept ID: 3025267)"
Hepatitis B Virus,"Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 13952-7, Concept ID: 3036282)"
Hepatitis C Virus,"Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 38180-6, Concept ID: 3034868)"
Hepatitis C Virus,"Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay (LOINC: 48159-8, Concept ID: 3052023)"
Hepatitis C Virus,"Hepatitis C virus RNA [Presence] in Serum or Plasma by NAA with probe detection (LOINC: 11259-9, Concept ID: 3021125)"
Hepatitis C Virus,"Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 13955-0, Concept ID: 3013801)"
Hepatitis C Virus,"Hepatitis C virus Ab [Presence] in Serum (LOINC: 16128-1, Concept ID: 3017143)"
Hepatitis C Virus,"Hepatitis C virus RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 47252-2, Concept ID: 3049680)"
Hepatitis C Virus,"Hepatitis C virus genotype [Identifier] in Serum or Plasma by NAA with probe detection (LOINC: 32286-7, Concept ID: 3002653)"
Hepatitis C Virus,"Hepatitis C virus Ab [Presence] in Serum by Immunoblot (LOINC: 5199-5, Concept ID: 3002302)"
Hepatitis C Virus,"Hepatitis C virus RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 20416-4, Concept ID: 3016770)"
Hepatitis C Virus,"Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 11011-4, Concept ID: 3018447)"
Hepatitis C Virus,"Hepatitis C virus RNA [Presence] in Blood by NAA with probe detection (LOINC: 5010-4, Concept ID: 3008075)"
Hgb,"Hemoglobin [Mass/volume] in Arterial blood by Oximetry (LOINC: 14775-1, Concept ID: 3006239)"
Hgb,"Hemoglobin [Mass/volume] in Arterial blood (LOINC: 30313-1, Concept ID: 3002173)"
Hgb,"Hemoglobin [Mass/volume] in Capillary blood (LOINC: 30352-9, Concept ID: 3006184)"
Hgb,"Hemoglobin [Mass/volume] in Blood (LOINC: 718-7, Concept ID: 3000963)"
Hgb A1c,"Hemoglobin A1c/Hemoglobin.total in Blood (LOINC: 4548-4, Concept ID: 3004410)"
Hgb A1c,"Hemoglobin S/Hemoglobin.total in Blood (LOINC: 4625-0, Concept ID: 3005081)"
Hgb A1c,"Hemoglobin A1c/Hemoglobin.total in Blood by calculation (LOINC: 17855-8, Concept ID: 3007263)"
Hgb A1c,"Hemoglobin S [Presence] in Blood by Solubility test (LOINC: 6864-3, Concept ID: 3017974)"
Hgb A1c,"Hemoglobin S [Presence] in Blood (LOINC: 4621-9, Concept ID: 3010418)"
HIV,"HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 20447-9, Concept ID: 3010747)"
HIV,"HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe with signal amplification (LOINC: 29539-4, Concept ID: 3010074)"
HIV,"HIV 1 RNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection (LOINC: 29541-0, Concept ID: 3026532)"
HIV,"HIV 1 RNA [#/volume] (viral load) in Specimen by NAA with probe detection (LOINC: 25836-8, Concept ID: 3038207)"
HIV,"HIV 1+Hepatitis C virus RNA+Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection (LOINC: 59052-1, Concept ID: 40762145)"
HSV,"Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay (LOINC: 27948-9, Concept ID: 3020384)"
HSV,"Herpes simplex virus 2 IgM Ab [Presence] in Serum by Immunofluorescence (LOINC: 45210-2, Concept ID: 3044473)"
HSV,"Herpes simplex virus 1 IgM Ab [Presence] in Serum by Immunofluorescence (LOINC: 40466-5, Concept ID: 3041612)"
HSV,"Herpes simplex virus 1 IgG Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 51916-5, Concept ID: 3039971)"
HSV,"Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay (LOINC: 41399-7, Concept ID: 3031119)"
HSV,"Herpes simplex virus 1 IgM Ab [Titer] in Serum by Immunofluorescence (LOINC: 50758-2, Concept ID: 3029949)"
HSV,"Herpes simplex virus 1 IgG Ab [Units/volume] in Serum by Immunoassay (LOINC: 5206-8, Concept ID: 3001038)"
HSV,"Herpes simplex virus IgG Ab [Units/volume] in Serum (LOINC: 9422-7, Concept ID: 3017951)"
HSV,"Herpes simplex virus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay (LOINC: 43180-9, Concept ID: 3045041)"
HSV,"Herpes simplex virus 2 IgM Ab [Titer] in Serum by Immunofluorescence (LOINC: 26927-4, Concept ID: 3000381)"
HSV,"Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay (LOINC: 5209-2, Concept ID: 3036557)"
HSV,"Herpes simplex virus 1 IgG Ab [Presence] in Serum (LOINC: 17850-9, Concept ID: 3009088)"
ILs,"Interleukin 6 [Mass/volume] in Serum or Plasma (LOINC: 26881-3, Concept ID: 3023091)"
INR,"INR in Blood by Coagulation assay (LOINC: 34714-6, Concept ID: 3032080)"
INR,"INR in Platelet poor plasma by Coagulation assay (LOINC: 6301-6, Concept ID: 3022217)"
Iron,"Iron binding capacity [Mass/volume] in Serum or Plasma (LOINC: 2500-7, Concept ID: 3021044)"
Iron,"Iron [Mass/volume] in Serum or Plasma (LOINC: 2498-4, Concept ID: 3002400)"
Iron,"Iron saturation [Mass Fraction] in Serum or Plasma (LOINC: 2502-3, Concept ID: 3000185)"
Lactate,"Lactate [Moles/volume] in Blood (LOINC: 32693-4, Concept ID: 3047181)"
Lactate,"Lactate [Moles/volume] in Serum or Plasma (LOINC: 2524-7, Concept ID: 3014111)"
Lactate,"Lactate [Moles/volume] in Plasma venous (LOINC: 32133-1, Concept ID: 3005491)"
Lactate,"Lactate [Mass/volume] in Serum or Plasma (LOINC: 14118-4, Concept ID: 3020138)"
LDH,"Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Pyruvate to lactate reaction (LOINC: 60017-1, Concept ID: 40763077)"
LDH,"Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid by Lactate to pyruvate reaction (LOINC: 68453-0, Concept ID: 40771040)"
LDH,"Lactate dehydrogenase [Enzymatic activity/volume] in Specimen (LOINC: 32324-6, Concept ID: 3007869)"
LDH,"Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction (LOINC: 14805-6, Concept ID: 3005225)"
LDH,"Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction (LOINC: 14804-9, Concept ID: 3022250)"
Lead,"Lead [Mass/volume] in Capillary blood (LOINC: 10368-9, Concept ID: 3028406)"
Lead,"Lead [Mass/volume] in Blood (LOINC: 5671-3, Concept ID: 4312876)"
Lipase,"Lipase [Enzymatic activity/volume] in Serum or Plasma (LOINC: 3040-3, Concept ID: 3004905)"
MCH,"MCHC [Mass/volume] by Automated count (LOINC: 786-4, Concept ID: 3009744)"
MCH,"MCH [Entitic mass] by Automated count (LOINC: 785-6, Concept ID: 3012030)"
MCV,"MCV [Entitic volume] (LOINC: 30428-7, Concept ID: 3024731)"
MCV,"MCV [Entitic volume] by Automated count (LOINC: 787-2, Concept ID: 3023599)"
Monocytes,"Monocytes [#/volume] in Blood by Automated count (LOINC: 742-7, Concept ID: 3033575)"
Monocytes,"Monocytes/100 leukocytes in Blood by Automated count (LOINC: 5905-5, Concept ID: 3011948)"
Monocytes,"Monocytes [#/volume] in Blood by Manual count (LOINC: 743-5, Concept ID: 3034107)"
